Frame Number,Vehicle,License Plate,Average Score
157,motorcycle_12.0,37P1-17406,0.9060110317336189
157,motorcycle_17.0,29F5-5565,0.862126711755991
158,motorcycle_12.0,37P1-17406,0.8695363203684489
158,motorcycle_17.0,29F5-5565,0.8395387567579746
159,motorcycle_12.0,37P1-17406,0.8857217099931505
159,motorcycle_17.0,29F5-5565,0.8835944309830666
160,motorcycle_11.0,18L1-02030,0.7656500173939599
160,motorcycle_12.0,37P1-17406,0.8913455406824747
160,motorcycle_17.0,29F5-5565,0.9272171184420586
161,motorcycle_9.0,11A-12714,0.5427612140774727
161,motorcycle_12.0,37P1-17406,0.8700954715410868
161,motorcycle_17.0,29F5-5565,0.8824156448245049
162,motorcycle_12.0,37P1-17406,0.8701825274361504
162,motorcycle_17.0,29F5-5565,0.8892945200204849
163,motorcycle_9.0,19A4-1214,0.5660441238433123
163,motorcycle_12.0,37P1-17406,0.9014120896657308
163,motorcycle_17.0,29F5-55665,0.7823170158598158
164,motorcycle_12.0,37P1-17406,0.8894621729850769
164,motorcycle_17.0,29F5-5565,0.8358302004635334
165,motorcycle_12.0,37P1-17406,0.8613294164339701
165,motorcycle_14.0,12D1-78677,0.32687096380525166
165,motorcycle_17.0,29F5-5565,0.8348714113235474
166,motorcycle_11.0,18L1-02030,0.6216481526692709
166,motorcycle_12.0,37P1-17406,0.8795723981327481
166,motorcycle_17.0,29F5-5565,0.8329695910215378
167,motorcycle_11.0,18L1-02030,0.7133848435348935
167,motorcycle_12.0,37P1-17406,0.8928104307916429
167,motorcycle_19.0,29P1-5908,0.5330283008515835
168,motorcycle_12.0,37P1-17406,0.9036349389288161
168,motorcycle_17.0,29F5-5565,0.8598194532096386
168,motorcycle_19.0,29P1-38569,0.9161536362436082
169,motorcycle_12.0,37P1-17406,0.8769876029756334
169,motorcycle_17.0,29F5-5565,0.9038898348808289
169,motorcycle_19.0,29P1-38569,0.8496970997916328
170,motorcycle_11.0,18L1-07030,0.41862742437256706
170,motorcycle_12.0,37P1-17406,0.8748683333396912
170,motorcycle_17.0,29F5-5565,0.8375403769314289
170,motorcycle_19.0,29P1-38569,0.9250484373834398
171,motorcycle_17.0,29F5-5565,0.8074339311569929
171,motorcycle_19.0,29P1-38569,0.8543852600786421
172,motorcycle_12.0,37P1-17406,0.8486515813403659
172,motorcycle_17.0,29F5-5565,0.8129348047077656
172,motorcycle_19.0,29P1-38569,0.9245142406887479
173,motorcycle_12.0,37P1-17406,0.8614545398288302
173,motorcycle_17.0,29F5-5565,0.814612241461873
173,motorcycle_19.0,29P1-38569,0.8822154270278083
174,motorcycle_11.0,19L1-70236,0.4756126470035977
174,motorcycle_12.0,37P1-17406,0.8716056214438545
174,motorcycle_17.0,29F5-5565,0.8242207895964384
174,motorcycle_19.0,29P1-38569,0.9025804532898797
175,motorcycle_11.0,19L-79035,0.49933928437530994
175,motorcycle_12.0,37P1-17406,0.8912720415327284
175,motorcycle_17.0,29F5-5565,0.8138657100498676
175,motorcycle_19.0,29P1-38569,0.9114259348975288
176,motorcycle_11.0,18L1-6703,0.3430544910952449
176,motorcycle_12.0,37P1-17406,0.8640730314784579
176,motorcycle_17.0,29F5-5565,0.8220154140144587
176,motorcycle_19.0,29P1-38569,0.9124388893445333
177,motorcycle_12.0,37P1-17406,0.8551921778255038
177,motorcycle_17.0,29F5-5565,0.838719081133604
178,motorcycle_12.0,37P1-17406,0.8527623812357584
178,motorcycle_19.0,29P1-38569,0.9227163195610046
179,motorcycle_12.0,37P1-17406,0.8196703460481432
179,motorcycle_17.0,29F5-5565,0.8391258120536804
180,motorcycle_12.0,37P1-17406,0.8389613661501143
180,motorcycle_17.0,29F5-5565,0.8410396315157413
181,motorcycle_12.0,37P1-17406,0.8277066912915971
181,motorcycle_17.0,29F5-5565,0.8360967896878719
182,motorcycle_12.0,37P1-17406,0.8161850935882993
182,motorcycle_17.0,29F5-55665,0.789393961429596
183,motorcycle_12.0,37P1-17406,0.8587846292389764
183,motorcycle_17.0,29F5-5565,0.8170148879289627
